ID,Area,Chla,TNmean,TN5,TN95,TPmean,TP5,TP95,N_Load,N_EN,N_DE,N_Outflow,P_Load,P_EN,P_DE,P_Outflow
NLA12_AZ-102,0.51,32.3,1.7,0.74,3.8,0.44,0.09,1.4,0.0070940828402366865,0.012644158802888408,0.01241,0.008169656804733728,0.0075875739644970415,0.002035712378086447,0.00704,0.002114499408284024
NLA12_AZ-103,0.51,15.34,1.8,0.69,3.7,0.24,0.09,0.55,9.934210526315789e-5,0.009798354618185763,0.01314,0.0004092631578947369,0.0010809210526315789,0.0022277289751287893,0.00384,5.456842105263158e-5
NLA12_AZ-127,0.18,13.056,1.3,0.75,2.0,0.26,0.12,0.47,0.00029666666666666665,0.014794954955186115,0.00949,0.0073632,0.00171,0.0037324175933660833,0.0041600000000000005,0.0014726399999999999
NLA12_AZ-145,0.51,39.2,1.6,0.63,3.4,0.19,0.066,0.44,0.00018362068965517241,0.009759255021485063,0.011680000000000001,0.0008342068965517242,0.0012396551724137932,0.0014850142214549024,0.00304,9.906206896551725e-5
NLA12_CA-101,3.17,14.0,0.19,0.11,0.3,0.0095,0.0049,0.016,0.0015107971014492753,0.0005077536231884058,0.001235,0.0009480834782608697,6.684782608695652e-5,0.00012124660011437301,0.000152,4.740417391304348e-5
NLA12_CA-102,4.03,99.0,0.68,0.34,1.2,0.015,0.0045,0.032,0.005452398703403565,0.00044121476497675495,0.00442,0.0020425128038897896,0.00021617504051863858,5.5560114814687546e-5,0.00024,4.505542949756888e-5
NLA12_CA-103,4.76,0.2,0.058,0.036,0.084,0.007,0.0041,0.011,0.0006184559359067735,3.1029155355448147e-6,0.0005336000000000001,9.785161835396941e-5,0.0002063073561544064,3.4278431421683735e-7,0.00019600000000000002,1.1809678077203204e-5
NLA12_CA-104,1.17,2.2,0.049,0.031,0.075,0.0047,0.003,0.0068,0.00015685111989459816,0.00026809687261632344,0.0004508,2.426371541501976e-5,3.702239789196311e-5,8.683498604999083e-5,0.0001316,2.3273359683794464e-6
NLA12_CA-106,0.63,176.0,0.33,0.26,0.4,0.035,0.026,0.046,0.0007090909090909091,0.02099180582707112,0.002079,0.0192456,7.045454545454545e-5,0.0026421321136546848,0.000665,0.0020412
NLA12_CA-107,0.69,3.8,0.21,0.16,0.27,0.024,0.017,0.032,0.0011211065573770492,0.0013032835675253708,0.001932,0.0006023213114754099,0.0002932377049180328,0.00041365173426272757,0.0006720000000000001,6.883672131147542e-5
NLA12_CA-108,0.32,9.0,0.51,0.17,1.1,0.02,0.0028,0.052,0.9966,0.005220122947330296,0.003315,0.9932606083832335,0.037962275449101794,0.0019222216434461588,0.00032,0.038951396407185625
NLA12_CA-111,0.78,3.2,0.092,0.022,0.24,0.0073,0.0026,0.016,0.013425148514851486,0.0003639834886618933,0.000598,0.01334768792079208,0.00078,0.0003912337367354231,0.0001168,0.0010591100198019804
NLA12_CA-112,0.31,3.4,0.17,0.047,0.41,0.016,0.008,0.028,0.018366666666666667,0.0011693493890464447,0.001105,0.019499586206896555,0.0008879310344827587,0.0012017674531969514,0.000256,0.0018352551724137931
NLA12_CA-116,0.16,1.4,0.25,0.14,0.41,0.027,0.012,0.046,0.0004432835820895522,0.00204007048092869,0.0023,0.0004513432835820896,8.432835820895522e-5,0.0006029114051320258,0.000756,4.8745074626865676e-5
NLA12_CA-121,3.56,2.8,0.39,0.14,0.75,0.0085,0.0019,0.02,0.004679665024630542,1.4442744447810356e-5,0.002535,0.0023002914679802955,0.0001662167487684729,1.6891625615763548e-5,0.00013600000000000003,5.013455763546798e-5
NLA12_CA-132,0.31,4.0,0.3,0.19,0.44,0.073,0.049,0.1,0.008423737373737373,0.0033414141414141413,0.00276,0.008784,0.003170707070707071,0.0010509912071394658,0.002044,0.00213744
NLA12_CA-135,2.37,3.8,0.067,0.048,0.092,0.0067,0.0045,0.0095,0.0004298872180451128,0.0002390986394557823,0.0006164,9.575458646616543e-5,0.00011838345864661654,7.588798733842521e-5,0.0001876,9.575458646616543e-6
NLA12_CA-154,0.29,3.3,1.4,0.93,2.0,0.31,0.17,0.51,0.04725555555555556,0.0021269096322991746,0.00882,0.04074442105263157,0.014045614035087719,0.001202228822123925,0.005889999999999999,0.00902197894736842
NLA12_CA-156,0.44,31.0,0.051,0.039,0.065,0.0082,0.006,0.01,0.00303,0.02741722164632249,0.0003213,0.029726676,0.00064625,0.004338119689905306,0.00015580000000000002,0.0047795832000000005
NLA12_CA-157,1.2,3.4,0.73,0.28,1.5,0.052,0.023,0.1,0.004394303797468355,0.000643882258525574,0.004745,0.0013971645569620255,0.00012310126582278482,0.0006617327115704733,0.000832,9.95240506329114e-5
NLA12_CA-172,0.18,0.8,1.0,0.39,2.0,0.039,0.0082,0.094,0.007646808510638298,0.00017158894364994543,0.0065,0.002941276595744681,0.00028404255319148934,0.00019363998732857052,0.000624,0.00011470978723404256
NLA12_CA-188,1.41,13.0,0.17,0.063,0.37,0.0066,0.0028,0.013,0.0007133783783783784,0.0002525229600080541,0.001105,0.00012136030888030888,2.7857142857142858e-5,6.431454985103079e-5,0.0001056,4.71163552123552e-6
NLA12_CA-190,0.58,33.0,2.0,1.1,3.2,0.098,0.051,0.17,0.011313084112149532,0.010791565212901094,0.013,0.010416448598130842,0.0003102803738317757,0.0015968518350506107,0.0015680000000000002,0.0005104059813084113
NLA12_CA-208,1.83,9.0,0.25,0.18,0.33,0.032,0.022,0.043,0.0024756118881118882,0.0010054910998092816,0.0023,0.0012008391608391608,0.0008039335664335664,0.00024662271254692673,0.000896,0.00015370741258741258
NLA12_CA-212,0.27,2.0,0.21,0.13,0.31,0.025,0.016,0.036,0.0005326271186440678,0.001588587570621469,0.001932,0.0004074711864406779,0.00018559322033898304,0.0005086581099920339,0.0007000000000000001,4.850847457627119e-5
NLA12_CA-223,0.38,0.8,0.28,0.2,0.36,0.032,0.019,0.048,0.004097073170731708,0.0007951360904913398,0.002576,0.002490005853658537,0.0009239024390243904,0.0001886510840904399,0.000896,0.00028457209756097565
